bathrooms,bedrooms,beds,city,currency,id,is_business_travel_ready,is_fully_refundable,is_host_highly_rated,is_new_listing,is_rebookable,is_superhost,latitude,longitude,name,person_capacity,picture_count,price,price_with_service_fee,property_type_id,rate_type,reviews_count,room_and_property_type,room_type,room_type_category,space_type,tier_id,user_id
1.5,0,4,Amsterdam,EUR,9484613,false,true,true,false,false,false,52.37178058260423,4.881131963190209,Giant - Canal Loft,4,8,10,10,35,nightly,13,Geheel loft,Gehele woning/appartement,entire_home,Geheel loft,0,48703385
1,1,1,Rotterdam,EUR,12903729,false,true,true,false,false,true,51.90642891579577,4.458923370971048,Private room with lock +2 bikes,2,20,9,9,1,nightly,115,Privékamer in appartement,Privékamer,private_room,Privékamer,0,58881728
1,1,1,Papendrecht,EUR,28662960,false,true,false,true,false,false,51.82558395506882,4.680559029963806,Papendrecht Stadswoning,1,12,10,10,36,nightly,0,Privékamer in stadswoning,Privékamer,private_room,Privékamer,0,160398159
1,1,1,Goirle,EUR,22976864,false,true,false,false,false,false,51.519895837543416,5.053063861724393,Room double comfy bed in semi-detached house,2,20,10,10,2,nightly,4,Privékamer in woning,Privékamer,private_room,Privékamer,0,170321960
1,0,1,Goirle,EUR,23704914,false,true,false,false,false,false,51.51936402326445,5.050804287810077,cosy room in semi-detached house,1,19,10,10,2,nightly,1,Privékamer in woning,Privékamer,private_room,Privékamer,0,170321960
1,1,1,Uithoorn,EUR,28602931,false,true,false,true,false,false,52.24865871564656,4.834865175240809,Peacefull and cheap.,1,7,9,9,1,nightly,2,Privékamer in appartement,Privékamer,private_room,Privékamer,0,215868467
1,1,1,Goirle,EUR,23709382,false,true,false,false,false,false,51.51962268047647,5.051926260206546,Big room two single beds in semi-detached house,1,18,10,10,2,nightly,1,Privékamer in woning,Privékamer,private_room,Privékamer,0,170321960
1,2,2,Den Haag,EUR,16960295,false,true,false,false,false,false,52.061826694437976,4.328825718860581,Beautiful apartment in The Hague,4,14,10,10,1,nightly,23,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,113403464
1,1,1,Goirle,EUR,25793401,false,true,false,false,false,false,51.5206883991561,5.051282885762818,Room with nice light and big window,1,8,10,10,2,nightly,1,Privékamer in woning,Privékamer,private_room,Privékamer,0,170321960
1,1,1,Goirle,EUR,25989229,false,true,false,false,false,false,51.52127192878798,5.050446107826227,Atticroom,1,23,10,10,2,nightly,0,Privékamer in woning,Privékamer,private_room,Privékamer,0,170321960
