gwb_code_10;gwb_code_8;regio;gm_naam;recs;gwb_code;FI;VI;SI
WK059926;059926;Bedrijventerrein Schieveen;Rotterdam;Wijk;WK059926;;;
WK059923;059923;Botlek-Europoort-Maasvlakte;Rotterdam;Wijk;WK059923;;;
WK059915;059915;Charlois;Rotterdam;Wijk;WK059915;89;87;84
WK059903;059903;Delfshaven;Rotterdam;Wijk;WK059903;99;102;97
WK059910;059910;Feijenoord;Rotterdam;Wijk;WK059910;99;93;91
WK059906;059906;Hillegersberg-Schiebroek;Rotterdam;Wijk;WK059906;119;131;130
WK059917;059917;Hoek van Holland;Rotterdam;Wijk;WK059917;126;136;126
WK059916;059916;Hoogvliet;Rotterdam;Wijk;WK059916;114;121;111
WK059912;059912;IJsselmonde;Rotterdam;Wijk;WK059912;103;105;101
WK059908;059908;Kralingen-Crooswijk;Rotterdam;Wijk;WK059908;111;113;104
WK059919;059919;Nieuw Mathenesse;Rotterdam;Wijk;WK059919;;;
WK059905;059905;Noord;Rotterdam;Wijk;WK059905;106;113;110
WK059904;059904;Overschie;Rotterdam;Wijk;WK059904;102;120;114
WK059913;059913;Pernis;Rotterdam;Wijk;WK059913;105;136;132
WK059914;059914;Prins Alexander;Rotterdam;Wijk;WK059914;120;127;118
WK059925;059925;Rivium;Rotterdam;Wijk;WK059925;;;
WK059901;059901;Rotterdam Centrum;Rotterdam;Wijk;WK059901;104;88;103
WK059924;059924;Rotterdam-Noord-West;Rotterdam;Wijk;WK059924;;;
WK059927;059927;Rozenburg;Rotterdam;Wijk;WK059927;114;144;106
WK059918;059918;Spaanse Polder;Rotterdam;Wijk;WK059918;;;
WK059922;059922;Vondelingenplaat;Rotterdam;Wijk;WK059922;;;
WK059921;059921;Waalhaven-Eemhaven;Rotterdam;Wijk;WK059921;;;
