gwb_code_10;gwb_code_8;regio;gm_naam;recs;gwb_code;ind_wbi;a_inw;a_man;a_vrouw;a_00_14;a_15_24;a_25_44;a_45_64;a_65_oo;a_ongeh;a_gehuwd;a_gesch;a_verwed;a_w_all;a_nw_all;a_marok;a_antaru;a_suri;a_tur;a_ov_nw;a_geb;p_geb;a_ste;p_ste;a_hh;a_1p_hh;a_hh_z_k;a_hh_m_k;g_hhgro;bev_dich;a_woning;g_woz;p_1gezw;p_mgezw;p_bewndw;p_leegsw;p_koopw;p_huurw;p_wcorpw;p_ov_hw;p_e_o_w;p_bjj2k;p_bjo2k;g_ele;g_ele_ap;g_ele_tw;g_ele_hw;g_ele_2w;g_ele_vw;g_ele_hu;g_ele_ko;g_gas;g_gas_ap;g_gas_tw;g_gas_hw;g_gas_2w;g_gas_vw;g_gas_hu;g_gas_ko;p_stadsv;a_inkont;g_ink_po;g_ink_pi;p_ink_li;p_ink_hi;p_n_act;p_hh_li;p_hh_hi;p_hh_lkk;p_hh_osm;a_soz_wb;a_soz_ao;a_soz_ww;a_soz_ow;g_wodief;g_vernoo;g_gewsek;a_bedv;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_pau;a_bst_b;a_bst_nb;g_pau_hh;g_pau_km;a_m2w;g_afs_hp;g_afs_gs;g_afs_kv;g_afs_sc;g_3km_sc;a_opp_ha;a_lan_ha;a_wat_ha;pst_mvp;pst_dekp;ste_mvs;ste_oad
GM0599;0599;Rotterdam;Rotterdam;Gemeente;GM0599;.;638712;314766;323946;103422;85677;194084;158382;97147;361032;188075;62397;27208;80742;244109;44164;24693;52620;47712;74920;.;.;.;.;321691;154323;72243;95125;2,0;2936;311336;.;25;75;.;.;.;.;.;.;.;88;12;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;221880;184740;37140;0,7;1020;12500;.;.;.;.;.;32416;21757;10659;.;.;1;3941
WK059901;059901;Rotterdam Centrum;Rotterdam;Wijk;WK059901;1;34685;17965;16720;3240;5720;14365;7040;4330;23490;7340;2990;875;6225;13010;2105;1210;2585;1650;5460;.;.;.;.;20860;12710;5000;3160;1,6;8392;19011;.;1;99;.;.;.;.;.;.;.;83;17;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;13075;9970;3105;0,6;3163;650;.;.;.;.;.;488;413;75;.;.;1;6127
BU05990110;05990110;Stadsdriehoek;Rotterdam;Buurt;BU05990110;1;16045;8415;7625;1315;2440;7400;3070;1820;11140;3330;1225;355;3185;4610;455;555;910;435;2255;.;.;.;.;9845;6065;2625;1160;1,5;11811;9166;.;0;100;.;.;.;.;.;.;.;74;26;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5840;4115;1725;0,6;4299;380;.;.;.;.;.;173;136;37;3011;1;1;6314
BU05990111;05990111;Oude Westen;Rotterdam;Buurt;BU05990111;1;9380;4730;4650;1260;1435;2975;2330;1385;5865;2160;1085;280;1170;5410;1300;260;1125;955;1770;.;.;.;.;5025;2780;940;1315;1,8;16565;4579;.;3;97;.;.;.;.;.;.;.;98;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2325;1785;540;0,5;4103;110;.;.;.;.;.;57;57;0;3014;2;1;6295
BU05990112;05990112;Cool;Rotterdam;Buurt;BU05990112;1;5870;2995;2875;455;1015;2665;1005;725;4135;1065;505;170;1190;2120;325;190;410;215;970;.;.;.;.;3690;2385;825;485;1,5;9622;3366;.;1;99;.;.;.;.;.;.;.;85;15;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1630;1215;420;0,4;2673;90;.;.;.;.;.;61;61;0;3012;1;1;6198
BU05990113;05990113;Cs Kwartier;Rotterdam;Buurt;BU05990113;1;975;545;430;70;155;455;190;100;650;245;65;20;230;340;5;40;45;15;230;.;.;.;.;625;380;170;80;1,6;2394;562;.;0;100;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;395;275;120;0,6;964;20;.;.;.;.;.;41;41;0;3013;1;1;6934
BU05990118;05990118;Nieuwe Werk;Rotterdam;Buurt;BU05990118;1;1720;935;780;100;455;530;380;255;1120;460;95;50;350;260;15;60;45;15;120;.;.;.;.;1145;720;345;90;1,5;2494;906;.;4;96;.;.;.;.;.;.;.;78;22;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;935;675;260;0,8;1353;35;.;.;.;.;.;104;69;35;3016;1;1;3420
BU05990119;05990119;Dijkzigt;Rotterdam;Buurt;BU05990119;1;690;340;350;35;215;340;60;40;590;80;20;10;95;265;0;95;40;10;110;.;.;.;.;520;395;105;30;1,3;1385;432;.;3;97;.;.;.;.;.;.;.;83;17;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1955;1910;45;.;.;15;.;.;.;.;.;52;50;2;3015;1;1;5269
WK059903;059903;Delfshaven;Rotterdam;Wijk;WK059903;1;75605;38480;37120;12480;12035;26220;17610;7260;48050;18445;7420;1695;10290;42125;9805;2545;7375;9740;12655;.;.;.;.;38470;19645;7560;11275;1,9;14666;34895;.;4;96;.;.;.;.;.;.;.;90;10;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;19215;15630;3590;0,5;3728;905;.;.;.;.;.;596;516;81;.;.;1;5500
BU05990320;05990320;Delfshaven;Rotterdam;Buurt;BU05990320;1;6915;3590;3325;855;1330;2800;1385;545;5055;1050;700;115;965;3240;515;540;650;430;1100;.;.;.;.;3895;2255;850;800;1,7;16152;3438;.;2;98;.;.;.;.;.;.;.;96;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1595;1370;225;0,4;3724;120;.;.;.;.;.;55;43;12;3024;1;1;4828
BU05990321;05990321;Bospolder;Rotterdam;Buurt;BU05990321;1;7055;3595;3460;1290;1140;2055;1830;740;4225;1960;685;185;755;4870;1295;185;750;1400;1235;.;.;.;.;3330;1575;565;1200;2,1;20687;3209;.;8;92;.;.;.;.;.;.;.;86;14;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1575;1295;280;0,5;4614;70;.;.;.;.;.;34;34;0;3025;1;1;5360
BU05990322;05990322;Tussendijken;Rotterdam;Buurt;BU05990322;1;7110;3575;3535;1220;1065;2330;1660;840;4315;1770;800;235;940;4640;1280;220;715;1205;1215;.;.;.;.;3605;1880;645;1085;2,0;19307;3426;.;1;99;.;.;.;.;.;.;.;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1655;1280;370;0,5;4486;45;.;.;.;.;.;40;37;3;3026;1;1;6228
BU05990323;05990323;Spangen;Rotterdam;Buurt;BU05990323;1;10190;5120;5070;2075;1680;3280;2365;790;6105;2910;985;195;980;7300;1920;320;1145;2010;1905;.;.;.;.;4470;1885;785;1810;2,3;16923;4117;.;4;96;.;.;.;.;.;.;.;87;13;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2580;2045;535;0,6;4285;95;.;.;.;.;.;65;60;5;3027;1;1;4664
BU05990324;05990324;Nieuwe Westen;Rotterdam;Buurt;BU05990324;1;19460;9870;9585;3310;3325;6490;4520;1815;12585;4750;1740;390;2395;10745;2805;545;1790;2525;3080;.;.;.;.;9675;4845;1870;2965;2,0;15714;8457;.;3;97;.;.;.;.;.;.;.;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4785;3830;955;0,5;3865;225;.;.;.;.;.;124;124;0;3022;5;1;6618
